Bowler,Average
Mahesh Theekshana,21.68
Wayne Parnell,26.09
Wahab Riaz,21.93
Rayad Emrit,23.15
Fabian Allen,32.39
Sunil Narine,20.72
Ravi Rampaul,21.05
Imran Tahir,19.79
Zahoor Khan,20.87
Aaron Summers,26.57
Kieron Pollard,24.75
Mujeeb Ur Rahman,23.06
Mohammed Irfan,23.56
Karim Janat,26.2
George Garton,21.26
Fazalhaq Farooqi,49
Mohammed Amir,23.09
Nasir Hossain,31.42
Hardus Viljoen,25.72
Munis Ansari,27.16
Karan KC,19.72
Yamin Ahmadzai,34.09
Sompal Kami,22.48
Pravin Tambe,22.35
Sohag Gazi,34.03
Muktar Ali,22.82
Usman Shinwari,22.6
Naveen-ul-haq,22.63
Rohan Mustafa,20.19
Obed McCoy,20.53
Jamie Overton,29.83
Mossadek Hossain,28.05
Ishan Malhotra,33.5
Shohag Gazi,34.03
Junaid Siddique,26.57
Dhananjaya Lakshan,26.68
Ahmed Raza,29.46
Sultan Ahmed,20.96
Sohail Tanvir,25.62
Shahid Afridi,22.63
Ahmed Daniyal,55
Chris Jordan,27.32
Azmatullah Omarzai,31.87